start	end	text
0	7680	Congratulations! Congratulations! This is your last week of six-week
7680	13280	Renew and I'm very proud of each and every one of you and I've been so
13280	20440	pleased with the improvements and the enthusiasm of each and every student and
20440	25440	it's just been a fun fun ride. So today in mental fitness we're going to talk
25440	32400	about celebrations, no big deal, and so I want you to think of what celebrations
32400	38960	means to you and if you need to use a different word like like excitement or
38960	46240	bragging those are great words too but celebrations or just the idea around
46240	51960	celebrating is a really really important tool. We actually learned a few weeks ago
52400	57120	in our mounted exercise how much how important it is to communicate to the
57120	64120	horses when they're right. It's the same. It's the same importance. We need to
64120	68360	communicate to ourselves when we've accomplished something, when
68360	74080	we've achieved something, when we've amounted in a certain way over a certain
74080	79760	subject that we're working towards. So get your notebooks out because this is
79760	84720	pretty interactive. So we want to talk about celebrations meaning everything
84720	91560	from big to small. It's something that you have accomplished and it could be a
91560	96560	portion. So say you're trying to drink more water in a day and you drink
96560	101040	this much water that's still a celebration and when you drink all the
101040	104880	water it's still a celebration and when you drink the entire amount that you're
104920	113640	going for in a day then that is a huge celebration okay. So it's really it's
113640	118800	really vital that you do this. You're gonna start doing it very on purpose and
118800	124960	that's a habit that we're going to kind of break down today okay. So the smallest
124960	131600	you know celebration might be getting up in the morning. A bigger one might be
131600	137720	making your bed. A bigger one would be the way that you responded to a
137720	144880	conversation with your horse, with barn staff, with some people around you, with
144880	150920	your family, whatever aspect of your life this goes across your whole life. It can
150920	154840	be used in any subject not just writing but this is what we're going to talk
154840	159840	about okay. Now the one thing I want to bring to your attention is that these
159880	170080	small things compound very heavily in your life. If you work out once how much
170080	179360	accomplishment or just benefit do you get from that? Not much but if you work
179360	189720	out say for 50 minutes only one time does it make it better? Not really. If you
189880	199840	work out for 10 minutes but you work out every single day for a whole year how
199840	207960	much are you going to accomplish? Oh yeah a lot right. Now if you up that to 15
207960	214400	minutes every day that is even bigger. Same thing with the water drinking. If you
214400	220640	want to drink four liters of water a day if you start with two sips and you keep
220640	224600	going all day you'll eventually end up at four liters per day and if you drink
224600	228880	four liters of water in a day you're gonna be so much more hydrated. If you're
228880	232600	more hydrated then all of a sudden your body's gonna function better. You're
232600	235720	gonna have more energy. If you have more energy you're gonna be able to get more
235720	240760	things done. If you can get more things done you're less stressed. Often two
240760	246560	tablespoons of water. That's where it begins. So celebrations are so important
246560	250640	when you accomplish something that you set out to do whether it's small or
250640	255720	huge you need to celebrate it in your mind. So get your pens out. I've given
255720	261240	you lots of time. First off you're gonna write down three things that you've done
261240	268680	ever in your life that you're proud of. So this can be huge things like the
268680	274360	birth of your children. It could be getting the horse, buying it, taking the
274360	278880	leap. It could be riding the certain horse that you have never done. It could
278880	283760	be going to your first horse show. It could be getting married to your spouse.
283760	291120	It could be something with your family or your your brothers and sisters. It
291120	295640	could be any one of those things. It could be jumping off a cliff in
295640	300680	Hawaii. Whatever it is I want you to write down at least three things that
300680	305920	you've done ever that you're super proud of.
308240	314120	Okay so now that you've got those three things I want you to write next to them
314120	321280	how it made you feel. Okay so if you wrote down that you jumped off a cliff
321760	329520	and it made you feel excited. It made you feel scared. It made you feel brave in
329520	335960	the end. I want you to write that down. So for each and every one of these I want
335960	341080	you to write down how it made you feel. Then I want you to circle how it made
341080	345640	you feel and that might be like a certain group of feelings and I want you
345640	350440	to really look at them and feel that again. That is celebrating those
350480	355200	accomplishments. You're gonna talk about yourself. So now you're gonna take those
355200	360080	things and you're gonna talk about them to yourself right now. So we're going to
360080	364360	use the the analogy of jumping off the cliff and this is making you feel brave.
364360	371920	And so you would say to yourself, wow I'm so brave. I'm so brave. I jumped off a
371920	377800	cliff in Hawaii and I'm so brave. Can you believe how brave I am? Can you believe?
377840	382720	Is anyone watching? This is how brave I am. That's that's a celebration that you
382720	387160	do with yourself and do it out loud. I don't care who's around. You've got to
387160	393680	get doing it out loud. So use your example here. Next thing I want you to do
393680	399560	the exact same exercise with writing three things down that you've done this
399560	405200	year that you're really proud of and how it made you feel.
408200	413760	So this year it could be say, you know, you had to start working from home. A lot
413760	419680	of people had to do that. You had to change jobs. You got a new dog and there
419680	429480	was a lot going on. You got a new horse. You had to retrain your
429480	433320	horse. Maybe that's why you're in this course because it came off of an injury
433320	438760	or it's new to you or just, you know, it needed to freshen up. You did that and
438760	442080	you accomplished this course. Maybe this course is one of the things you're proud
442080	446880	of, okay? So you're gonna write that down. You're gonna write down how it made you
446880	452720	feel. Say if this course was your example of something you've done this year that
452720	458400	made you proud and say it made you feel accomplished. Like you are completing
458400	463480	things. You're not procrastinating anymore. You're actually doing the things
463480	467800	that are in front of you and they're producing results and I want you to talk
467800	473280	to yourself about this subject and I want you to say to yourself, I produce
473280	479880	results. Look at me. I produce results. I did this course. I did all the steps and
479880	485520	look at the results it produced. I did that and I'm more celebrating because I
485520	493600	did that and I can do it again. So now I want you to go even deeper and I want to
493600	498560	think you to think of three things that you've done today. Maybe you're watching
498560	502200	this in the morning. Maybe you want to use yesterday. Maybe you're watching this
502200	506160	in the evening and you're gonna use today. So I want you to write down three
506160	510000	things that you've done today and you have to write three things. Force
510000	515680	yourself to make something like, you know, really grab a celebration. If you've
515680	520240	had a bad day, it does not matter. Grab a celebration. Make it happen for yourself
520240	525140	today. So write down three things that you've done today. Say I kept up with the
525140	530080	dishes. It could be something really small. I went out in road and I did the
530080	533880	groundwork exercise because my horse was crazy and I didn't want to get on but I
533880	538600	did the exercise anyway and I did the groundwork exercise. That is a huge
538600	544640	celebration, especially if you're working towards, say, you know, breaking
544640	548480	through procrastination or breaking through to make sure that you're
548480	554160	working on bravery with your horse or connection with your horse. It could be
554160	560280	something more specific. Like I read into the connection with my horse that I
