start	end	text
0	16640	Welcome.
16640	21200	So this week we're going to be teaching a horse that has never free jumped a little
21200	25240	bit about the game of free jumping.
25240	32840	Some goals that you'll have for today is to make it fun for the horses and have them understand
32840	40440	and experience the exercise in a very attainable way so they don't feel like it's too hard
40440	43280	to accomplish or too complicated.
43280	48400	Some horses thrive in liberty work because they're very independent and other horses
48400	52840	feel that it's a little bit tricky to get started.
52840	56040	So firstly we want to warm the horses up by lunging.
56040	58080	This horse has been warmed up at liberty.
58080	65920	If your horse is not used to or you feel better starting them on a lunge line, that's okay
65920	66920	too.
66920	74120	And then as you can see I'm just walking really cautious and calmly over to the obstacles
74120	77920	and showing her how to step over them.
77920	85560	Our setup has extra jumps and rails as a chute.
85560	92880	You can also use pieces of caution tape or any sort of safe barricade that could come
92880	98920	down in case the horse misunderstands and tries to run out through the chute.
98920	104020	So in this case we've got little wings on either side as well to help guide the horses
104020	108180	into the chute so that they know where to go.
108180	114340	So step one is just to lead them over very small obstacles, just a pile of rails on the
114340	116700	ground.
116700	122700	You can do this with a horse that's done minimal jumping or more jumping as long as you stay
122700	128300	within the boundaries of what they already know how to do or what to do with their bodies.
129300	138020	So as you can see I'm leading her and I'm petting her when she does it correctly.
138020	142260	The next step after you've done this enough times that the horse really gets it is to
142260	144500	allow them to go on their own.
144500	149140	You see how I'm letting her sniff the way that she wants to go over the poles and I'm
149140	155620	just gently staying behind her in somewhat of a lunging position, rewarding her for the
155620	159140	first one.
159140	165300	And then just putting my arm kind of close to her bum as if I'm a little bit lunging
165300	174140	and quietly directing her to go around the poles.
174140	179700	If your horse is very keen or very excited sometimes they'll run off away from you and
179700	181620	that's okay too.
181620	186020	Just be careful that you're not in harm's way if your horse is not very aware of your
186020	188120	surroundings.
188120	192820	This one is very aware of the surroundings.
192820	198700	So you see how she's just walking away, she's taking some liberties, so I'm just engaging
198700	206420	in that lunging kind of posture again with minimal pressure and now I've even been able
206420	214540	to advance to being outside the chute and just talking to her and indicating.
214540	218380	Important thing is to not rush the horses if they still feel the need to walk over the
218380	223980	obstacles, allow them to do that.
223980	228420	So when I squat down like that, that's an indicator of a little break and the horse
228420	233460	is allowed to relax or stay quiet for a moment.
233500	239180	I want to get up again, I'm just going to direct her gently with my body position to
239180	243680	go the way that I intend her to go.
