start	end	text
0	10800	Welcome back to Mental Fitness. We're gonna talk about goal setting this week.
10800	16400	Goal setting is such an important part of accomplishing our tasks and our goals
16400	21520	and our writing. Whether it's small or large, goal setting is such an important
21520	27960	tool to use intentionally. So get your notebooks out and get writing as we're
28000	34920	gonna set some goals for this year. No matter if you're setting long-term or
34920	39320	short-term goals, big or small goals, you want to ask yourself some questions
39320	44240	about them so that your mindset is in the right space to accomplish them.
44240	49120	Firstly, we want to ask ourselves why are we motivated to accomplish this goal.
49120	54680	Write down your reasons why the goal is a must and summarize it into two
54680	60640	sentences so that you can memorize it and keep it in your mind at all times. In
60640	67640	order to accomplish something, it needs to be on the front of our mind. Next, we
67640	72640	want to envision our outcome. I want you to close your eyes and actually envision
72640	78720	exactly how it would feel, how it looks, who is there when the goal is
78720	82680	accomplished. And I want you to write down your ideal outcome for the
82680	88880	situation or the goal. Whether it's very small and just for today or very large
88880	94520	and it's going to take multiple years, write it down and be very specific. Who
94520	99880	is involved, what people are involved, what resources are involved, and envision
99880	109840	it to its fullest extent. Now you're ready to start planning for your goal. So
109880	117560	first of all, give yourself a time frame, an exact time frame, a deadline and stick
117560	123040	to it with no excuses. This is the most important part of the planning stage of
123040	128400	goal setting. Make sure you give yourself a deadline. Write it down and put it
128400	132600	wherever you need to in your house, on your devices, and make sure you
132600	138680	accomplish a portion of that goal by that date exactly the way that you set
138680	143880	out to do. Write your why at the top of the plan so that you know where your
143880	149720	motivation is coming from and you'll have the energy to complete the task. Be
149720	155440	very specific with your planning. What will you be doing daily to accomplish
155440	161360	this goal? Who will be involved? What are their exact roles? How much exact money
161360	167160	do you need? How much exact time do you need? How much exact energy do you need?
167200	172880	Write this all down and be very specific to each goal. Like I said, even if it's a
172880	179080	daily goal, if it's a yearly goal, if it's a monthly goal, write it down and be
179080	183360	very specific. The more we dwell on the things that are going to bring us life,
183360	192640	the more life will come into our life. The journey of a thousand miles starts
192680	200440	with one step. So step every single day. You have a categorized list here. Start
200440	204360	with your why. Get a good vision and plan to get there.
