start	end	text
0	20840	So in week two, for our mounted exercise, our goal is to have a short step and a long
20840	26320	step directly influenced by our breath.
26320	31880	So the short step, you're going to hold the air in the top of your rib cage and the long
31880	37480	step, we're going to show it in the bottom of our belly.
37480	45960	So the first candidate here is a very, very green horse and it's to show the very basic
45960	54620	level, even the very greenest horse can respond to this exercise well when you bring the energy
54620	59260	or the flow of breath into the top of your rib cage.
59260	64540	And then you let it flow out over your belly, he's going to take a longer step and then
64540	68700	back into your rib cage, he's going to take a shorter step.
68700	75260	So this horse is very green, he knows almost nothing about flat work, but he's still very
75260	82380	responsive to this exercise simply by the direction of energy through your breath.
82380	86500	So start there, it doesn't matter how green your horse is, doesn't matter if it goes on
86500	94900	the bit, whether you can or can't take a contact, you can work on this exercise very well.
94900	101860	Once your horse is more advanced in the connection and also able in its step, then you can really
101860	105540	see a bigger difference.
105540	113100	So here, just even at the walk, you can bring the step up and then bring the step out.
113100	120460	So as you push the air through down your belly out through where your belt would go, the
120460	123100	step is going to get larger.
123100	128540	And as you bring the air up into the top of your rib cage across your collarbones, you're
128540	142620	going to hold the energy of the step up in the air, making it shorter.
142620	147780	So there's lots to work on here, even in the progression of this horse's ride.
147780	155480	But a few things to watch out for is you can see very well in this slow mo that the direct
155480	163280	line from the bit to the elbow is still maintained, no matter where he puts his head to evade
163280	170620	the collection or evade the extension, there he gets a little pat for doing a good job
170620	173520	lifting his back.
173520	178600	So it's very important that you maintain your other positional correctiveness, even doing
178600	180740	this exercise.
180740	189440	When we go for a ride, it's important to pick one priority or potentially up to two.
189440	192120	But don't complicate it beyond that.
192120	196800	If you're going out to do this exercise, tell yourself you're going to move the horse with
196800	200140	your breath and do that.
200140	203460	Don't try to perfect every other movement.
203460	206900	Just try to nail down this one exercise.
206900	213020	So as I come up with the air in the top of my lungs, you're going to see his step come
213020	215780	up and shorter.
215780	222940	And as I let the air extend down into my belly out where my belt would go, it's going to
222940	226140	make the step a lot longer.
226140	231940	So on a horse that's a little more capable, like this one, you're going to see a physical
231940	234540	difference in the size of step.
234540	240140	So as I let the energy out over the bottom of my belly, his step becomes bigger.
240140	246460	And as I pull it up into the collarbones, it becomes a lot smaller.
246460	251260	Another thing to watch out for is that you're not pulling into the deceleration or kicking
251260	253420	into the acceleration.
253420	255020	Breathe your way there.
255020	261900	A few things also to maintain are straightness in the horse's body, all the vertebrates in
261900	262900	a line.
263300	270180	So you don't want much inside flexion or bend in this exercise.
270180	277300	Simplify it and just allow them to be straight in the exercise.
277300	280620	In the canter, it's the same exercise.
280620	286020	Bring the air up into your collarbones to make the canter smaller so that the right
286340	294300	front foot is landing shorter and then it's landing longer.
294300	299060	It's the same as the trot exercise.
299060	308020	There's a lot of big benefits to having this ability with your horse to move them around
308020	309020	with your breath.
309020	314740	And one of them is when you're doing a lateral movement like you just saw, you can open and
314740	321260	close the movement simply with your breath and the maintenance of your legs and arms
321260	329900	doing a lot of other things does not have to interfere with the going forward and back.
329900	337380	So as the horse starts to really come into the exercise and understand it, they actually
337380	345020	gain a lot of confidence from being able to rely on you not moving your arms and legs
345020	352020	into crazy different positions to try and maintain something else or to kick and pull
352020	355460	into acceleration and deceleration.
355460	357620	You're simply going to breathe there.
357620	362020	No matter what you're doing, no matter the pattern you're doing, you're able to do it
362020	362820	with harmony.
