start	end	text
0	27460	Let's go!
30000	37000	This week we have a really exciting exercise for mental strength in the
37000	42080	horses and the connection between horse and rider. So there's a lot of variations
42080	47400	to this exercise but the point of the matter is to put your horse through two
47400	54600	three four different shapes right in a row and you're looking for responsiveness
54760	60280	connection and reaction time on both your part and the ability to follow a
60280	69240	pattern quickly and concisely. So don't worry too much about the quality of each
69240	74480	movement until you've done the pattern a bunch of times and maybe you've done
74480	79640	you're gonna do this exercise multiple times this week. So each movement is
79640	84320	gonna be start out simple and you can make it more advanced as you get better
84320	90840	and better and better at it. And to explain it I've brought you an Etsy
90840	100960	sketch. So first off we have a leg yield towards the center line and then we're
100960	106160	gonna travel straight up the center line and start making a circle between 10 and
106160	111320	15 meters based on your ring. Then we're gonna travel back down the long side in
111320	117280	full straightness. Make a corner according to your horse's level and
117280	123160	across the short side and repeat. So we're gonna leg yield in this case right
123160	132680	and then travel up the center line the same. Circle left 10 to 15 meters based
132680	138320	on your ring size and your horse's ability and then travel down the long
138320	144520	side and in conclusion you can go across the short side and repeat.
148880	153200	So starting with our leg yield you want to remember the leg yield needs to be
153200	158120	more forward than it is lateral and the horse should be leading with its shoulder
158120	163560	going across that leg yield and if you ever lose your forward you need to fix
163600	169280	that first. When you're traveling up the center line think of two train tracks or
169280	174960	two walls on either side of your arms to keep you very straight. As you make your
174960	179080	circle the curvature of the horse should represent the size and the shape of the
179080	183720	circle that you've chosen. So don't make your curve in your horse too great or
183720	188440	too small based on the circle. As you begin to travel straight down the long
188480	194240	side use the wall to help you guide your straightness in head, neck, shoulders, hips,
194240	202640	lumbar. An alternate route for this same exercise would be to work on one
202640	207400	direction at a time. Leg yield across the center line, straight over the center
207400	214480	line, circle right and then travel across the diagonal. This is a great way to help
214520	219240	your horse go forward across the diagonal if they need a slight mental
219240	226720	break and then you can repeat the same side twice or three times. This alternate
226720	231600	pattern is best done in the walk and the trot because of the same sidedness
231600	236960	direction unless you are sufficient in counter canter. You can also accelerate on
236960	239680	the diagonal.
244480	246740	you
