start	end	text
0	4200	,</p><p begin="1.變態"></p 뭔가방感 codes updatelt.ke
4200	12940	</ Quit.l seat een
12940	16060	readbase, xред, bosal, & 둥Be especie</p><p begin="1.變態"></p><p begin="1.變態"></p><p begin="1.變態"></p><p
16060	18060	Crazy.
18060	20060	Did you notice?
20060	49620	Here we have our first exercise in moving the
49620	60340	shoulder over and you see you ideally want to be on the loose rein at the walk really initiating
60340	67420	the shoulder movement from the leg. If there's any takeaway of today it's that the initiation
67420	73420	has to come from the leg and not the rein. The rein just leads the horse to the leg. So as you
73420	80540	see here sometimes you need to pick up the same rein that the leg is on so in this case the left
80540	87300	rein in the left leg and the other way would be the right rein in the right leg to help the horse
87300	95180	understand which side you want him to pay attention to. If you've completed that and the
95180	101260	groundwork you're ready to do this in trot. Now this horse is coming off the rail quite far and
101260	107220	he's able and flexible enough to bend through his body and through the rib cage and the neck
107220	113500	quite well. If your horse isn't at that stage yet then just travel one to two feet off the rail.
113500	119700	So here you can really see the initiation coming from the right leg moving the shoulder over. This
119700	125020	isn't a leg yield you don't want them to be rigid and straight yet we just want to move the shoulder
125020	134100	over from the leg. So move your leg forward as if you're traveling the front of your shin over the
134100	141980	front of the shoulder blade and move the horse's shoulder over. You see in the canter the more
141980	147660	advanced version of this keeping the same lead and moving the shoulder over and being able to
147660	154260	move the shoulder over the other way. So the most important part is to think the initiation from the
154260	161180	leg. Number two that the shoulder is leading the way and is on the appropriate side of the haunches.
161180	167620	So in this case the left side and then the right side of the haunches. Away you go I'm super
167620	168940	interested to see your videos.
