start	end	text
0	5020	Music
5020	10020	Music
10020	15020	Music
15020	20020	Music
20020	25020	Music
25020	44900	So our first groundwork exercise is going to be to move the shoulder over from the ground.
44900	54780	So some key points are that the horse does not step forward into your space.
54780	60540	Imagine you have a little bubble around yourself and they can't step forward.
60540	67300	So you see me there correcting him every time he tries to push his nose, his body, his energy
67300	71100	into my space.
71100	74400	So it's important also to know what type of horse you're dealing with.
74400	78880	This is a semi-reactive three-year-old gelding.
78880	81240	So he likes to play with things.
81240	83120	He likes rewards.
83120	88440	So find out what your horse likes and give them that as a reward.
88440	94680	So if they like to have a little walk around so that they can go forward from this exercise,
94680	96220	that's a great reward.
96220	103480	If they want to be pet on the forehead like this horse, that's a great reward.
103480	107120	If they want a treat, carry treats in your pocket.
107120	111000	Just be mindful that they're not abusing any of their rewards.
111000	118200	Now the purpose of this exercise is for them to not step forward into your bubble, your
118200	119200	energy bubble.
119200	126000	So you see me not moving my feet, he cannot walk on top of me at all.
126000	129240	And when he does it well, then he gets a reward.
129240	137040	The other thing is normally we would like the foot to step behind the other forefoot.
137040	142880	But in this case, when you're brand new to this exercise, it doesn't matter if it steps
142880	149880	forward or behind, except a sideward step no matter how it looks.
149880	151400	Just like that, exactly.
151400	153600	And then forward pet.
153600	158740	Now you see me squatting there, that is to encourage the horse's head to come down.
158740	163580	Something that horses have a hard time with is putting their head down without walking
163580	165060	forward.
165060	170380	So make sure you teach them that in some way before you start this exercise.
170380	171380	Okay?
171380	178300	And you see me constantly correcting him from stepping into me, and that's very important.
178300	182720	Some other horses we're going to want to step away from you in which you have to draw them
182720	186300	in with the pet or in with the rein.
186300	190940	You can do this without a saddle on, just a halter.
190940	195300	I like using a bridle so I have both sides of the bit.
195300	200340	And later on they can be in a halter or a rope halter to make sure that they understand
200340	202340	the exercise.
202340	211020	Good, as simple as that, just moving the shoulder over one step at a time.
211020	216020	You notice immediately when he starts to move, then I snap the whip back and release him
216020	220900	completely from the exercise.
220900	225580	And spend time in reward.
225580	231700	If they really enjoy having a walk or if they really enjoy having a pet, spend time there.
231700	237440	Talk to them, give them what they need to feel like they've done a good job, especially
237440	245220	with these young horses or horses just that are wanting to please, they need to know that
245420	250820	they've done the exercise correctly.
250820	257280	It's important for you as students to see the entire process of how we get to the point
257280	261360	of him actually accomplishing the task with consistency.
261360	266380	So that's why I've shown you all these videos.
266380	273860	So now by the end of the little session here, he's not only more responsible for not running
273860	279760	over top of me, so I'm being a little more strict about him not running on top of me,
279760	284020	but also he is much more accustomed to the exercise.
284020	288060	He has a good understanding of what's expected of him.
288060	290260	And there you go, perfect.
290260	291600	Good boy.
291600	297040	So the squatting down is really working for this horse to bring his head down, which is
297040	303020	important for his spine to come into a neutral position and relax.
303020	306600	And also a very obvious reward, perfect.
306600	309400	One step is all you need.
309400	311160	There you have it, your first exercise.
