start	end	text
0	29940	🎵Music play🎵
30000	39160	Welcome to week two of six week renew groundwork session. So we're gonna start
39160	45960	on the lunge. This horse is very quiet on the lunge so it is in a halter. It's
45960	52320	also very sensitive on its face to my aides and cues so if your horse is
52320	57680	anything less than that then it's a good idea to do this exercise or these
57680	66800	exercises in a bridle and if your horse is very distracted then also with
66800	72280	side reins and a surcingle so that they can remain straight and do a little bit
72280	80440	more focused work. This horse is very focused on its own. So already what we
80440	85440	want to get from this exercise is being able to control the horse's step with
85440	94360	your breath. So as I inhale there she opens her step in the walk and makes it
94360	103160	bigger and as I come closer smaller with my body she's gonna make it smaller. So
103160	112680	both my arms are representing that being very obvious with the step. Making sure
112760	118000	that you're going both ways I like to switch at the walk, switch at the trot
118000	124120	and switch at the canter as opposed to doing all walk trot canter one direction
124120	129760	and then changing direction. I like to give them a well-rounded warm-up or just
129760	138160	integrate into the exercise. So in order to track how large the horse's step is
138200	145040	you watch where the front foot is falling and the hind foot is going to
145040	152920	either step into it behind it or in front of it. So we have two views here
152920	159120	one is going to be your view in the trot from the center of the circle and as you
159120	164680	can see when I open my body and get bigger and wider with my body she's
164680	169720	going to open her step up and when I get smaller with my body she's going to
169720	179840	close her step so making it shorter. So in order to get this task accomplished
179840	185440	with the horses you have to be very sensitive in your person and make them
185440	193560	attentive. So as you can see there as we zoom in my body is getting smaller there
193600	199860	arms are coming closer to the body chest is coming narrower and the step is
199860	206760	getting smaller and as I raise up bigger and wider even the whip can raise if you
206760	215000	need to opening the body then the step opens up. The same exercise in the canter
215000	220600	as in the walk and the trot as you open your body and make it bigger the horse
220640	225440	is going to have a step bigger and as you close your body and make it smaller
225440	231640	or hold the contraction then they're going to make their steps smaller. So
231640	238200	like I said this is the most attentive horse. If your horse is less attentive
238200	245800	then it's important to make your aids more clear and more obvious to them so
245840	252200	they can learn it. And you may need to correct them if they have limited
252200	255360	lunging abilities.
262560	269040	So there you can really see how the opening of the body is very obvious.
269880	278040	When we get to this view you can see the step clearly getting bigger and then
278040	287160	smaller and then bigger by the way she holds her back and the physical length
287160	290000	of her step.
