start	end	text
0	8000	Hello, welcome back to this week's mental fitness episode.
8000	13000	I hope you enjoyed the meditation we did last week.
13000	19000	I think that has so much value for putting us in the right state of mind,
19000	22000	and we're going to talk more about that today.
22000	27000	So our topic for today is visualization and how important it is.
27000	35000	So studies show in everything we're doing, whether it's business, whether it's sports, in any psychology,
35000	41000	in any action that we take, 80% is psychology. 80%.
41000	48000	And 20% of it is skills, function, and training, talent, those things.
48000	55000	So we need to take our visualization, our state of mind, quite seriously, and improve it.
55000	63000	So I'm excited to talk about it and hear your feedback on how you've been making this a reality in your life.
63000	69000	So number one is ask yourself, how much are you visualizing good things?
69000	75000	How much are you thinking on good things, things that you want out of your riding,
75000	82000	things that you want out of this particular ride, things that you want that you are going after in the year?
83000	86000	How much are you thinking on those things?
86000	93000	If your answer is somewhere between, absolutely not, I've never done that in my life, I think that's crazy,
93000	100000	to I've done it once or twice, then that might be the reason why you're seeing less success than you want.
100000	109000	If your answer is a lot, then you're still not seeing the success that you want, maybe you need to do it differently.
109000	115000	And if your answer is yes, and I'm doing awesome, then good for you, and I'm very proud of you.
115000	126000	So visualization or changing your state of mind, not based on your situation, takes practice.
126000	132000	So I'm going to say that again, it takes practice.
132000	138000	Just like anything else, if you're building a muscle and you work out one day, it's not going to make a difference.
138000	145000	It's going to make a difference in your confidence that day for sure, but it's not going to build a muscle in one day.
145000	151000	And it's the same with any other skills that we're building. Visualization is really important.
151000	162000	So number two, the power of the mind is so great. It's so big, it's so vast.
162000	172000	And we know that in so many examples of how someone has overpowered some circumstance with a simple belief that they can.
172000	182000	Tons of scenarios where people are getting over things that they shouldn't physically be able to get over, and they do it with their mind.
182000	197000	So, you know, on a small scale, if you want to accomplish shoulder in really well today, you can do it because someone lifted a car over here or fought cancer or did those crazy bigger things.
197000	204000	So compare yourself to that and then realize that it's much more possible for you than you thought.
205000	217000	So when you're visualizing for riding, some kind of key takeaways or some tips are just make it very simple at first.
217000	228000	OK, so pick a movement or a course or a set of movements, and you're just going to imagine that you did them.
228000	235000	So you're going to close your eyes. You're going to imagine you did them, and it can be as simple as I'm trotting down the long side.
235000	243000	I'm balanced. I have all these traits and qualities to my trot, to my balance.
243000	249000	And then I make a circle and I do that twice. I change direction and do it the other way.
249000	256000	So you go through that might take you 10 minutes, but it's going to improve your ride a lot more than you expected.
256000	266000	So start simple like that. Good times to visualize are obviously before your ride every day. You can do it then.
266000	275000	For sure, before any competitive ride. So if you're out of competition, before your dressage test, before you jump around,
275000	282000	before your flat test, whatever sport you're in and what you're doing, before your cross country round, you're going to visualize.
282000	290000	You're going to close your eyes and you're going to imagine you're doing that. Once you get good at that, then I would encourage you to add your body in.
290000	298000	So you're going to you're going to need a stand in the trailer. You might look down from the outside because your eyes are going to be closed.
298000	307000	You're not going to be on the horse. You're going to imagine that you're riding this movement as well as move your body as if you're riding it.
307000	316000	So if you if you have a goal to give over this certain fence or to put your hands here or to make sure you kick your heel forward in this way
316000	327000	or keep your straightness or chin up or shoulders back over this part of the course or the movements or the pattern, then you do that with your body.
327000	336000	So you sit up on fence seven, you shoulders back for your shoulder in, look right for your leg yields, those kinds of things.
336000	344000	Do that with your body and add that into your imagining the movement.
344000	349000	So that's just some practical ways that we can visualize.
349000	358000	And I guarantee it's going to improve your ride even on the daily in competition.
358000	367000	And when you get that improvement in your ride, I'm telling you, it improves your confidence in your ability to make changes.
367000	372000	And when you can do it in your mind, your body will follow. And it's such a fantastic feeling.
372000	379000	So I'm excited to share this with you because it's been such an important piece for me and so many other people.
379000	390000	If you talk to any person at the top of sport or in the top of training or someone who just does this daily, they have they all visualize.
390000	396000	They all do some form of visualization and they're all seeing the improvement because of it.
396000	403000	So I'm really excited to see you guys do this and give me some feedback on how it went for you.
