start	end	text
180000	183000	I don't know if you can hear me, but I can hear you.
183000	186000	I can hear you.
186000	189000	I can hear you.
189000	192000	I can hear you.
192000	195000	I can hear you.
195000	198000	I can hear you.
198000	201000	I can hear you.
201000	204000	I can hear you.
204000	207000	I can hear you.
207000	210000	I can hear you.
210000	213000	I can hear you.
213000	216000	I can hear you.
216000	219000	I can hear you.
219000	222000	I can hear you.
222000	225000	I can hear you.
225000	228000	I can hear you.
228000	231000	I can hear you.
231000	234000	I can hear you.
234000	237000	I can hear you.
237000	240000	I can hear you.
240000	243000	I can hear you.
243000	246000	I can hear you.
246000	249000	I can hear you.
249000	252000	I can hear you.
252000	255000	I can hear you.
255000	258000	I can hear you.
258000	261000	I can hear you.
261000	264000	I can hear you.
264000	267000	I can hear you.
267000	270000	I can hear you.
270000	273000	I can hear you.
273000	276000	I can hear you.
276000	279000	I can hear you.
279000	282000	I can hear you.
282000	285000	I can hear you.
285000	288000	I can hear you.
288000	291000	I can hear you.
291000	294000	I can hear you.
294000	297000	I can hear you.
297000	300000	I can hear you.
300000	303000	I can hear you.
303000	306000	I can hear you.
306000	309000	I can hear you.
309000	312000	I can hear you.
312000	315000	I can hear you.
315000	318000	I can hear you.
318000	321000	I can hear you.
321000	324000	I can hear you.
324000	327000	I can hear you.
327000	330000	I can hear you.
330000	333000	I can hear you.
333000	336000	I can hear you.
336000	339000	I can hear you.
339000	342000	I can hear you.
342000	345000	I can hear you.
345000	348000	I can hear you.
348000	351000	I can hear you.
351000	354000	I can hear you.
354000	357000	I can hear you.
357000	360000	I can hear you.
360000	363000	I can hear you.
363000	366000	I can hear you.
366000	369000	I can hear you.
369000	372000	I can hear you.
372000	375000	I can hear you.
375000	378000	I can hear you.
378000	381000	I can hear you.
381000	384000	I can hear you.
384000	387000	I can hear you.
387000	390000	I can hear you.
390000	393000	I can hear you.
393000	396000	I can hear you.
396000	399000	I can hear you.
399000	402000	I can hear you.
402000	405000	I can hear you.
405000	408000	I can hear you.
408000	411000	I can hear you.
411000	414000	I can hear you.
414000	417000	I can hear you.
417000	420000	I can hear you.
420000	423000	I can hear you.
423000	426000	I can hear you.
426000	429000	I can hear you.
429000	432000	I can hear you.
432000	435000	I can hear you.
