start	end	text
0	14000	So here in week one, I want to talk about a great starting subject of how to set your mindset on how to think about your horse and about what they're thinking of.
14000	23000	So when you go in to your riding or your groundwork session with an intention, it goes way better.
23000	31000	So I want you to listen to these, you know, preferably at the beginning and at the end of the week and give yourself almost like a little score.
31000	36000	Did I get better with the thing that I'm trying to work on this week, number one?
36000	41000	And also, did I come with an intention every time I worked my horse?
41000	47000	So this week, I want you to think of putting yourself in your horse's shoes.
47000	55000	So I want you to think of what they could be thinking, just like you would another person.
55000	64000	So sometimes how I like to start with people and with horses is like, how is your day going?
64000	72000	Can you ask your horse that question? Were they just turned out? Did they just come from a stall? What are the circumstances of their day? Did you just wake them up?
72000	77000	Did they just eat? Did they not eat yet? They're so hungry.
77000	81000	All of those things matter when we go to work with our horse.
81000	93000	So, you know, another thing to think of that I hear a lot of people not really mentioning or giving themselves or giving their horses credit for is how are they feeling physically?
93000	99000	Give your horse a chance to kind of answer that question and they answer in a couple ways.
99000	109000	They will answer when you palpate their body and they will give an answer like pinning their ears when you touch their shoulder or back or hip or wherever they're sore.
109000	117000	Or they'll be super happy and when you hug them, they're like, yes, Nagomi, they're having a pretty good day.
117000	119000	Those things matter.
119000	123000	And then, of course, how does your horse feel about this exercise?
123000	125000	That's the biggest thing. Get very specific.
125000	133000	So in this, you know, in this week, you're going to go and be like, okay, well, are they confused?
133000	141000	Are they sure? Do they feel safe? Are they distracted? Are they focused?
141000	148000	And why? And like, you know, what would the reason be that they are distracted or focused?
148000	157000	If they're very connected to you and they stay focused, even though there's chaos going around, then you can say, okay, well, we've just had a good connection.
157000	166000	But number one, you have to seek to understand before you can provide a solution or else your solution isn't going to be very good.
166000	177000	Right. Like if you don't ever listen to your friend and they're complaining about something that they're really struggling with and they want to they want your help or they want your advice.
177000	183000	You just don't listen. How good is your advice going to be?
183000	189000	So let that ring in your ears there. You want to listen and have good advice.
189000	197000	So when your horse has a response or a reaction, ask yourself, do I understand why they had this reaction?
197000	205000	Do I understand what the reaction was? Was the reaction to me? Was it the reaction to what they were thinking?
205000	210000	Is this like an issue that doesn't, you know, have to do with me?
210000	214000	Or were they reacting to their environment or something like this?
214000	219000	So if you can interact with horses, you can interact with people.
219000	222000	And if you can interact with people, you can interact with horses.
222000	228000	And so ask yourself these questions before you provide a solution.
228000	232000	Lots of times people just want to jump on like, well, just stand still.
232000	238000	Well, what if he's reacting to something that requires him to not stand still like a bug?
238000	241000	Right. Well, why don't you just why don't you just listen?
241000	248000	Well, he doesn't know what he's listening for and why it's important to be listening to you.
248000	252000	What is the point of this? Right.
252000	256000	And so I want you to put yourself in your horse's shoes.
256000	265000	I want you to write down every time, you know, you think you've got something new from your horse, like, oh, like I saw a different reaction.
265000	270000	And I'm not even sure what the solution is, but my observing was better.
270000	274000	So that's what I want you to bring to your call this week.
274000	276000	For the sake of the horse, let's get better.
