start	end	text
0	29840	Welcome back, this week we're teaching the horses to receive a reward in the
29840	35880	form of a pet. So we're using the exercise of using an obstacle or a jump,
35880	41400	a cavaletti or a pole, having the horse go over the poles or cavalettis and then
41400	48640	stopping and giving them a pat. In this example here I've got three cavalettis
48640	54000	set on nine feet apart so that we can do this in walk, trot and canter. In this
54000	58720	particular horse's demonstration we'll do it in the walk and the trot. So as you
58720	63960	can see the start is to lead him over the cavalettis and show him exactly how
63960	70240	to go over the cavalettis and then when I stop my feet he must stop his feet and
70240	75420	you see me there correcting him exactly where I stopped he needs to stop. After
75420	81400	that point he gets a pet. So they should be so in tune that they could stop at
81400	87080	any time and they're comfortable being over top of the pole and clearing the
87080	93000	pole and knowing exactly where it is. So you see there this horse actually really
93000	98400	likes being scratched so I'm adding that to the reward, a pet on the forehead, a
98400	104560	little scratch on the neck. If your horse doesn't like being scratched avoid that.
105280	111320	So watch out for things and be aware of some things, how accurate is your
111320	116800	horse at knowing their own body and being able to manipulate it over the
116800	122640	obstacles. This tells you a lot about how your horse learns and how they move
122640	127600	their body and how they receive information from obstacles and outside
127600	130120	sources.
134080	139200	So the next stage is to have them go over the obstacles alone without your
139200	144920	lead and you see here he's very comfortable doing that and he can stop
144920	151760	when I stop. If your horse is nervous they're gonna want to come towards you
151760	156880	and not do it on their own, simply encourage them to step away from you and
156880	164000	do the obstacle or solve the problem on their own. Remember every groundwork
164000	168840	exercise we do, every exercise we do with the horses is to direct the horse to
168840	174280	control himself, not so that we can control the horses. The more the horse is
174280	179280	confident with his own self-control the more confident he will be with the task
179280	189000	that we give him. Good, so now we've moved on to encouraging the trot. You can tell
189000	192760	this horse is not paying attention so I'm having to give him reminders on how
192760	201640	to pay attention, come in and get his reward. So if your horse is slightly
201640	207680	distracted like this one you may have to indicate to them exactly where they
207680	212160	should be, whether they should be solving the problem, coming for the reward or
212160	219240	simply resting. So you see I'm giving him the little trot steps with my feet to
219240	224960	encourage him to trot and then I'm also having to remind him how to halt
224960	231760	because his attention level is low. If your horse is more sensitive you're
231760	237640	gonna want to be very very light and effective with your voice, your body
237640	242560	commands and make sure that you're not misfiring any commands towards them so
242560	246960	that they stay light and sensitive to your aids.
251760	259320	When repeating this exercise repeat it until it's so boring for the horses,
259320	264760	repeat it until they could do it in their sleep, do it so many times and
264760	271920	recognize the equality of doing it both left and right exactly the same, exactly
271960	277320	the same amount of times and there's gonna be a harder side for the horse. You
277320	280640	might have to practice that a little bit more but recognize that you want to make
280640	289200	it even in the end. Here we have another example of a horse that's very confident
289200	293880	with their ability to maneuver their own body. This is a young horse still the same
293880	299520	age but this horse is more confident, more aware of their body so we can use
299520	305400	this same concept over a larger jump like this little barrel here that's
305400	310840	about two feet high. So he's already at the stage where he can jump it on his
310840	317160	own. Same as the other horse, this one needs a reminder to pay attention and
317160	321360	make sure that he's on task in the moment that he needs to be doing what he
321360	325520	needs to be doing. So jumping, he's jumping, coming back and getting a pet,
325640	330600	he's coming back and getting a pet. You see this horse is distracted by maybe
330600	336360	the other areas of the arena. Do your best to ignore that part and keep focused
336360	342680	on the task that you're asking him to do and the horses will respond by paying
342680	346480	attention to that task as well.
