start	end	text
0	29580	This
29580	34380	week we are creating a better opportunity for the horse. The exercise
34380	38140	is to develop awareness of where the horse is landing his step and the
38140	44100	easiest way to do this is with obstacles. So we have this horse walking over
44100	50580	cavalettes. We want the same distance of step on the takeoff of the cavalette and
50580	56180	the landing. When we provide the horse with this greater opportunity there's a
56180	61460	greater chance of success. So in slow motion here you can see when he steps
61460	67380	perfectly even on both sides his step does not interfere with the cavalette
67380	74660	and when he gets too close or too far away he makes up a different solution to
74660	79140	solve the problem either brushing the cavalette or hopping over it
79140	83540	inappropriately for the sake of the exercise at the walk. I would encourage
83580	87780	you to do this at the walk a lot with your horses it's such a great exercise
87780	93220	for joints and for their brain to slow things down and solve the problems in
93220	102980	time. Start with the cavalettes on the lowest setting until your horse gets
102980	109540	more comfortable move it up as they get more confident. Level two is a course of
109540	115700	pulls on the ground. This is a simplified 21 foot one stride and a nine foot bounce
115700	121860	inside a course. When you're riding through it make sure that you're fair
121860	129140	about how the distance that you get to each pole. If you get a shorter distance
129140	134140	understand that the horse may not be able to solve the problem in the pace
134140	140060	that he's already in. For example if the horse is in trot he may want to walk or
140060	145340	accelerate to try and make up for that flaw and understand where that's coming
145340	150700	from and why it might have happened before you try and correct it correct
150700	157940	yourself. So here we have a very green horse that's relatively not coordinated
157940	164980	yet he is feeling confident in the trot to adjust his distances in this trot
164980	170260	pole course and you can see he's moving his body around up and down with his
170260	174900	head moving his hind legs forward and back to try and solve all these problems.
174900	179720	It's very important as a trainer as a rider as the coach to your horse that
179720	186720	you have an understanding of why they're making those adjustments. So here in the
186720	193440	canter of course with a horse that is young not coordinated or maybe it's
193440	199600	their first time they're bound to make mistakes throughout their course or try
199600	204160	and solve problems in a way that you may not expect. So if you have an
204160	209240	understanding of why they may have calculated the math that way then you
209240	215280	are more likely to build a partnership with the horse and their interest in
215320	221640	seeking your opinion before and after obstacles or in general in your flat
221640	227080	work is more likely. The biggest tip I can give you here is to keep praising
227080	236120	them for solving problems not just looking pretty. If we break down this
236120	240900	course of this younger horse in the canter you can see why he might be
240900	245260	making some of these decisions. When he gets to a short place that those green
245260	250180	poles he decides to canter or even tranter through which is a mix of the
250180	255100	trot in the canter that young horses sometimes do. So again there he decides
255100	260740	to split and move to the trot. So as a rider it's my job to support him and be
260740	266860	okay with that until still tell him that he's a good boy for solving the problem.
266860	272740	Adjust your priorities. So there is a very good example of the perfect
272740	279220	situation giving him the best result so this young maybe not coordinated horse
279220	285180	can still get a beautiful lead change if we give him the best opportunity for it.
285180	291600	And the other opportunities where he's learning to control his step and may
291600	297220	need to trot or change his shape or balance are opportunities for him to
297220	302420	learn and develop skills inside his own body. There we have a perfect distance.
302420	309700	Later on when the horse is more advanced and can jump you can see them making
309700	315380	their own adjustments looking into the math and having a reciprocating
315380	320620	relationship with you when you're both deciding where to place the legs. You see
320620	327100	the ears go up he sits back on the hind legs and he's making adjustments so that
327140	333980	he's in the right spot at the right time up to his preference.
335380	340780	Remember the main goal is to make the same distance happen on either side of
340780	343500	the obstacle.
