start	end	text
0	29720	Welcome, so this week we have a grid set up.
29720	35360	So pause the video and write down these diagrams if you need them for different ways to come
35360	37000	into a grid.
37000	43840	There's the simplest to a more advanced version, whatever your level.
43840	47960	So we've already gone through the basics of getting to an obstacle or fence.
47960	51920	It needs to be perpendicular and the horse needs to be traveling over the center of the
51920	53320	obstacle.
53320	58560	If your horse still has trouble with this, use only cross rails or start with the exercise
58560	61640	at the poles on the ground.
61640	64800	So first order of business is balance.
64800	70400	You want your balance to be right over your toes and your feet, legs traveling up over
70400	74920	your knees, through your hips and out over the top of your head.
74920	80600	At every point through the grid, you want that balance to remain the same in your body.
80600	86560	In order to do that, we need to bend our joints accordingly through the exercise and through
86560	90560	the movement of the horse to absorb.
90560	99200	Secondly, to keep our balance, the first thing we want to practice is grabbing main.
99200	105440	The grid is a great place to learn to grab the main because the horse is only traveling
105440	106480	in a straight line.
106480	108760	There's no turns.
108760	115320	So grab the main as you approach and keep a hold of it the whole time to keep your balance
115480	121080	right over the center of gravity, which should be underneath your stirrup.
121080	125560	The goal of today is to get your balance and be able to maintain it.
125560	132880	First grabbing main and then being able to let go and not have to use your reins to use
132880	137720	the main for balance using your core strength only.
137720	143400	Trust your animal, trust the balance that you have and eventually you'll be able to
143400	144040	let go.
