start	end	text
0	28800	On screen text, a fusion of both worlds on two parallel worlds.
28800	35560	Welcome back. This week we're going to go through using the Psoa lunging system
35560	41240	to build better balance in the horses before we even get on. The reason why I
41240	46200	like this system is because it works the whole body of the horse without the
46200	53960	influence of the rider's positive or negative consequences. So here we have
53960	59120	the setup of the Psoa. On the lowest setting we have the pulleys underneath
59120	65120	attached to the girth, a pulley at the bit, a pulley low down and on the
65120	73400	surcingle, and the fleece piece is right underneath the tail, below the hip, and
73400	79600	above the hawk. Before you begin with the Psoa, your horse needs to have
79600	85480	proficient lunging skills with a bridle and a halter and know all the commands
85480	92680	that you are using to walk, trot, canter, slow down, speed up, close the circle and
92680	98840	open the circle. After that point the horse can go in side reins as a one of
98840	103600	two parts to build towards the Psoa lunging system. When you're teaching the
103600	107560	horses to go in this system, make sure they're going forward so they don't get
107560	113600	stuck and make your decisions very clear so that they know where you're going.
113600	120400	Some common reactions to the Psoa is running through the pulley on the mouth
120400	126120	so you'll see the horse's head come up and run forward and hit the bit really
126120	131960	hard. That's a common reaction, just allow the horse to experience its own
131960	137840	consequences for those reactions. Number two is they feel like they've been tied
137840	141400	and they can't move, so sometimes you might have to lead the horse in front of
141400	146720	you and lead them around like a little pony ride to indicate that they in fact
146720	151280	can move but it's inside of a little box. You might want to loosen the Psoa a lot
151280	157280	more if your horse is feeling more stuck. And then the third one, which is this
157280	162280	example with this horse, is they scoot away from that bum fleece and they try
162280	169840	to run and go faster to try and fix the feeling of the bum fleece making sure
169840	174840	that their hind legs aren't sprawling out the back. So this is a very normal
174840	179560	reaction as well and you'll see some of the corrections I make with this horse
179560	188400	to help her understand that she can do that with her back legs. So it's very
188400	192680	common for the horses to kick out at the back fleece as well and it's in a very
192680	199600	safe place that it doesn't become, it doesn't slide up or down and it doesn't
199600	205760	become misplaced. So if you're feeling like the Psoa is moving around while
205800	209840	the horse is having these reactions, be sure to adjust it and move it to a
209840	214560	safer place. If you're only feeling comfortable teaching your horse in the
214560	220120	walk first, then moving to the trot, then moving to the canter, that's totally okay
220120	231560	and sufficient for your level and the horse's level. Some great tips for horses
231560	235280	that are scooting themselves away from the Psoa is to bring the circle in
235280	240840	smaller. Keep the whip out, keep it active, keep the energy up so they don't move
240840	245920	into getting stuck but that you're telling them that they can slow down and
245920	250640	there's a space for them to step. Number two, if your horse is getting stuck and
250640	255280	you're leading it around, you might have to do this in over the course of three
255280	258720	days to build up to the canter and it might take you a little while to build
258720	263120	up to the canter if they're very very much feeling stuck. If your horse is
263120	267680	reactive by pulling on the bit, you may have to come under their bum with the
267680	272720	whip and encourage them to go forward so that they can find the energy or find
272720	278840	the space to go over their wither as opposed to scooting up and trying to run
278840	292800	free from the bit. So after your horse is trained and ready for their lunging
292800	299000	advancement to use the Psoa, you may start at walk and if your horse is
299000	305800	sufficiently lessening, you may ask for transitions more promptly to get them
305800	311360	more used to the boundaries which the Psoa is providing. These systems are
311360	315960	super good for creating left and right balance and forward and back balance in
315960	323040	the horse by engaging the loins at the top of the lower lumbar or in front of
323040	327760	the hip area of the horse. This particular horse has a tendency to throw
327760	334360	its hind legs out the back and evade good downward transitions so as expected
334360	339760	in the Psoa in the lunge lesson that we're giving her, it's most difficult for
339760	344200	her to do a downward transition since the Psoa will not allow her to sprawl
344200	348600	her legs out the back so therefore she feels like she needs to keep going
348600	353120	forward. Don't necessarily discipline your horse for this, let them experience
353120	358920	the boundaries on their own and just simply make the circle smaller and allow
358920	364040	them to learn on their own where their body is and how to control their own
364040	370800	body. This connection is so important for the horses to learn. We can't always
370800	376360	be able to see from the saddle unless we have someone videoing us of our effect
376360	382080	on how we we teach the horses to do this with their bodies so lunging, groundwork,
382080	387640	Psoa work can be so good for watching and seeing where your horse is accurate
387640	396280	and where it's not. Partway through your lesson you will notice the horses
396280	401120	intending to stretch way down, that's an excellent sign that means that they've
401120	405480	been activating, they've been contracting their lower back muscles to push their
405480	410200	back up and that means that you've done a great job. When you're first teaching
410200	414840	the horses this make sure to keep the sessions short and attainable as this is
414840	418880	quite an upgrade to fitness for each horse.
